,item,loja,tipo_loja,ds,venda,ypred,error,sqderror,abserror
6,10223,renner_ar_ex_1,física,2022-04-10T00:00:00.000Z,12,5.5912113,6.408788681030273,41.07257235810175,6.408788681030273
5,10223,renner_ar_ex_1,física,2022-04-17T00:00:00.000Z,6,6.6453886,-0.6453886032104492,0.41652644915393466,0.6453886032104492
7,10223,renner_ar_ex_1,física,2022-04-24T00:00:00.000Z,4,5.5912113,-1.5912113189697266,2.531953461617377,1.5912113189697266
2,10223,renner_ar_ex_1,física,2022-05-01T00:00:00.000Z,12,11.055262,0.9447383880615234,0.8925306218770857,0.9447383880615234
0,10223,renner_ar_ex_1,física,2022-05-08T00:00:00.000Z,2,11.055262,-9.055261611938477,81.99776286064662,9.055261611938477
1,10223,renner_ar_ex_1,física,2022-05-15T00:00:00.000Z,2,11.055262,-9.055261611938477,81.99776286064662,9.055261611938477
3,10223,renner_ar_ex_1,física,2022-05-22T00:00:00.000Z,8,11.835305,-3.8353052139282227,14.70956608398501,3.8353052139282227
4,10223,renner_ar_ex_1,física,2022-05-29T00:00:00.000Z,7,11.055262,-4.055261611938477,16.44514674126185,4.055261611938477
12,10223,renner_ar_ex_2,física,2022-04-10T00:00:00.000Z,7,5.780117,1.2198829650878906,1.4881144485116238,1.2198829650878906
8,10223,renner_ar_ex_2,física,2022-04-17T00:00:00.000Z,12,5.780117,6.219882965087891,38.68694409939053,6.219882965087891
13,10223,renner_ar_ex_2,física,2022-04-24T00:00:00.000Z,7,5.780117,1.2198829650878906,1.4881144485116238,1.2198829650878906
14,10223,renner_ar_ex_2,física,2022-05-01T00:00:00.000Z,6,18.448996,-12.448995590209961,154.97749120506705,12.448995590209961
10,10223,renner_ar_ex_2,física,2022-05-08T00:00:00.000Z,6,17.824066,-11.824066162109375,139.80854060593992,11.824066162109375
9,10223,renner_ar_ex_2,física,2022-05-15T00:00:00.000Z,4,21.461956,-17.461956024169922,304.9199081900442,17.461956024169922
11,10223,renner_ar_ex_2,física,2022-05-22T00:00:00.000Z,4,21.350544,-17.350543975830078,301.0413762572134,17.350543975830078
16,10223,renner_ar_ex_3,física,2022-04-10T00:00:00.000Z,3,6.762858,-3.7628579139709473,14.159099680733789,3.7628579139709473
18,10223,renner_ar_ex_3,física,2022-04-17T00:00:00.000Z,1,6.8911414,-5.891141414642334,34.70554716731408,5.891141414642334
17,10223,renner_ar_ex_3,física,2022-04-24T00:00:00.000Z,1,7.790285,-6.790285110473633,46.107971881519916,6.790285110473633
20,10223,renner_ar_ex_3,física,2022-05-15T00:00:00.000Z,1,18.866098,-17.866098403930664,319.1974721789338,17.866098403930664
19,10223,renner_ar_ex_3,física,2022-05-22T00:00:00.000Z,6,21.01572,-15.01572036743164,225.4718581529014,15.01572036743164
15,10223,renner_ar_ex_3,física,2022-05-29T00:00:00.000Z,4,21.01572,-17.01572036743164,289.53473962262797,17.01572036743164
22,10223,renner_ar_ex_4,física,2022-04-10T00:00:00.000Z,6,5.698302,0.3016982078552246,0.09102180862305431,0.3016982078552246
25,10223,renner_ar_ex_4,física,2022-04-17T00:00:00.000Z,9,5.698302,3.3016982078552246,10.901211055754402,3.3016982078552246
23,10223,renner_ar_ex_4,física,2022-04-24T00:00:00.000Z,6,5.678246,0.32175397872924805,0.1035256228281014,0.32175397872924805
27,10223,renner_ar_ex_4,física,2022-05-01T00:00:00.000Z,4,5.947289,-1.947288990020752,3.79193441065604,1.947288990020752
24,10223,renner_ar_ex_4,física,2022-05-08T00:00:00.000Z,3,5.947289,-2.947288990020752,8.686512390697544,2.947288990020752
26,10223,renner_ar_ex_4,física,2022-05-15T00:00:00.000Z,3,5.947289,-2.947288990020752,8.686512390697544,2.947288990020752
28,10223,renner_ar_ex_4,física,2022-05-22T00:00:00.000Z,1,6.9947705,-5.994770526885986,35.937273670020886,5.994770526885986
21,10223,renner_ar_ex_4,física,2022-05-29T00:00:00.000Z,1,5.947289,-4.947288990020752,24.475668350780552,4.947288990020752
938,10223,renner_br_ac_1,física,2022-04-10T00:00:00.000Z,146,99.71678,46.28321838378906,2142.13630396151,46.28321838378906
935,10223,renner_br_ac_1,física,2022-04-17T00:00:00.000Z,100,101.36506,-1.3650588989257812,1.8633857975364663,1.3650588989257812
936,10223,renner_br_ac_1,física,2022-04-24T00:00:00.000Z,109,107.2802,1.7198028564453125,2.957721865037456,1.7198028564453125
940,10223,renner_br_ac_1,física,2022-05-01T00:00:00.000Z,157,121.93887,35.061126708984375,1229.2826061034575,35.061126708984375
937,10223,renner_br_ac_1,física,2022-05-08T00:00:00.000Z,136,108.43674,27.563262939453125,759.7334638694301,27.563262939453125
934,10223,renner_br_ac_1,física,2022-05-15T00:00:00.000Z,92,113.31141,-21.31140899658203,454.17615341959754,21.31140899658203
939,10223,renner_br_ac_1,física,2022-05-22T00:00:00.000Z,104,108.43674,-4.436737060546875,19.684635744430125,4.436737060546875
933,10223,renner_br_ac_1,física,2022-05-29T00:00:00.000Z,120,130.45743,-10.457427978515625,109.35779992584139,10.457427978515625
619,10223,renner_br_al_21,física,2022-04-10T00:00:00.000Z,258,99.75768,158.24231719970703,25040.630952732696,158.24231719970703
620,10223,renner_br_al_21,física,2022-04-17T00:00:00.000Z,182,101.47306,80.52693939208984,6484.587967857311,80.52693939208984
617,10223,renner_br_al_21,física,2022-04-24T00:00:00.000Z,141,105.62728,35.372718811035156,1251.2292360845604,35.372718811035156
618,10223,renner_br_al_21,física,2022-05-01T00:00:00.000Z,160,140.82904,19.17095947265625,367.5256871022284,19.17095947265625
616,10223,renner_br_al_21,física,2022-05-08T00:00:00.000Z,132,138.25812,-6.25811767578125,39.164036843925714,6.25811767578125
